"siteID","estar_slope","sstar_slope","estar_slope_MAT","sstar_slope_MAT","estar_slope_MAP","sstar_slope_MAP"
"BART",0.328920321869043,0.245003751292837,0.328920321869043,0.245003751292837,0.328920321869042,0.245003751292836
"BLAN",0.406508434938418,0.0764561951133615,0.406508434938418,0.0764561951133617,0.406508434938418,0.0764561951133606
"CPER",0.0205347617243227,0.0679482732143682,0.0205347617243228,0.0679482732143683,0.0205347617243222,0.0679482732143678
"DCFS",0.137454912083396,0.113687864381915,0.137454912083396,0.113687864381915,0.137454912083396,0.113687864381915
"DEJU",0.0600140577392117,0.117969647052486,0.0600140577392117,0.117969647052486,0.0600140577392112,0.117969647052485
"DELA",0.0917742853878457,0.103687346400912,0.0917742853878458,0.103687346400912,0.0917742853878462,0.103687346400911
"DSNY",0.291431588649855,0.123371382618455,0.291431588649855,0.123371382618455,0.291431588649856,0.123371382618455
"GRSM",0.254989887760403,0.107816962384665,0.254989887760403,0.107816962384665,0.254989887760403,0.107816962384665
"GUAN",0.180313197484202,0.118694183768746,0.180313197484202,0.118694183768746,0.180313197484202,0.118694183768746
"HARV",0.12215575456022,0.131783122780831,0.122155754560221,0.131783122780831,0.12215575456022,0.13178312278083
"HEAL",0.109982127790982,0.117703135503272,0.109982127790982,0.117703135503272,0.109982127790983,0.117703135503272
"JERC",0.271341074385518,0.158269447964084,0.271341074385519,0.158269447964084,0.271341074385517,0.158269447964084
"JORN",0.0394956835530408,0.0548747194568822,0.0394956835530409,0.0548747194568824,0.0394956835530404,0.0548747194568821
"KONZ",0.0880862317186386,0.152273107955501,0.0880862317186388,0.152273107955501,0.0880862317186388,0.152273107955502
"LAJA",0.243879467467985,0.161660906827201,0.243879467467985,0.161660906827201,0.243879467467984,0.161660906827201
"LENO",0.224777033268718,0.135029099594042,0.224777033268718,0.135029099594042,0.224777033268717,0.135029099594041
"NIWO",0.365530863493172,0.0594594846408762,0.365530863493172,0.0594594846408763,0.365530863493172,0.0594594846408752
"NOGP",0.0763975174692768,0.107270616325025,0.0763975174692771,0.107270616325025,0.0763975174692768,0.107270616325025
"OAES",0.107723466436106,0.126209584433868,0.107723466436106,0.126209584433868,0.107723466436106,0.126209584433867
"ORNL",0.136780459714903,0.157264504593848,0.136780459714903,0.157264504593848,0.136780459714902,0.157264504593847
"OSBS",0.231702104255782,0.150283569243023,0.231702104255782,0.150283569243023,0.231702104255782,0.150283569243022
"RMNP",0.203720435218273,0.0927496754528126,0.203720435218274,0.0927496754528127,0.203720435218273,0.0927496754528128
"SCBI",0.129519419622296,0.11191398026761,0.129519419622297,0.11191398026761,0.129519419622297,0.11191398026761
"SERC",0.207576960820679,0.105133839748326,0.207576960820679,0.105133839748326,0.207576960820679,0.105133839748325
"SRER",0.142720975084074,0.0854939504359552,0.142720975084074,0.0854939504359554,0.142720975084074,0.085493950435955
"STEI",0.281725124182986,0.112581342049981,0.281725124182986,0.112581342049981,0.281725124182985,0.112581342049981
"TALL",0.187856989741152,0.152589874128415,0.187856989741152,0.152589874128415,0.187856989741152,0.152589874128416
"TREE",0.278088096269672,0.129283379338133,0.278088096269672,0.129283379338133,0.278088096269671,0.129283379338131
"UKFS",0.0870625851544312,0.118911844668682,0.0870625851544311,0.118911844668682,0.087062585154431,0.118911844668682
"UNDE",0.140814185089637,0.111399311245388,0.140814185089637,0.111399311245388,0.140814185089636,0.111399311245388
"WOOD",0.143004085242075,0.098608085749376,0.143004085242075,0.098608085749376,0.143004085242074,0.0986080857493755
