"siteID","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","sstar_ave_slope","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"BART",8,2015,2022,0.244027787191768,0.0884521295292494,0.332479916721017,0.553425177801801,0.316957458300474,0.642568651708345,14,6.64629925001753,1227.40017363793,0.483637415523647,156.99752271931
"BLAN",7,2016,2022,0.14985646142436,0.138035624414412,0.287892085838773,0.580273807187578,0.240306573992749,0.292400941574382,14,13.4671285456222,1179.37434781326,0.278291207499853,208.945426703588
"CPER",10,2013,2022,0.0717494095923418,-0.0461305041199121,0.0256189054724297,0.478018656629082,0.0595685413577952,1.22665805117811,14,9.28511723594604,402.111812892108,0.606262908734704,82.6587412106209
"DCFS",6,2017,2022,0.114089524167587,0.0200403488363023,0.134129873003889,0.50280559590051,0.111130394374891,0.760529144609326,14,4.96789004349912,497.303857011717,1.15666821194308,127.682048557661
"DEJU",7,2016,2022,0.118627121697823,-0.0462602582227288,0.072366863475094,0.535377499519619,0.113345958667993,0.84398105182923,14,-2.35641298236905,276.965836038914,1.19573112232049,23.7801657103545
"DELA",8,2015,2022,0.104840538180302,-0.0120887952116213,0.0927517429686811,0.55317332564745,0.113431596262792,0.361601736814938,14,19.1555104601345,1559.97932346922,0.342700784265099,153.276085566383
"DSNY",6,2014,2019,0.122532185278021,0.158678334582058,0.281210519860079,0.644405704054954,0.48965450135584,0.879383993904593,14,23.7297731868418,1491.29383092287,0.445708081734259,84.2705656964512
"GRSM",8,2015,2022,0.109272855288755,0.148221712870761,0.257494568159516,0.63373590678824,0.147567877636092,1.37232009236211,14,14.0537536778279,1673.16371660645,0.320503430963658,253.673384764224
"GUAN",5,2016,2020,0.1047560395204,-0.0126335550143117,0.092122484506088,0.61345353743673,0.129667500001059,0.668468336017847,14,25.8026749338271,1547.70772615832,0.195811124304803,272.650724550056
"HARV",9,2014,2022,0.12882469103587,0.0206271766923369,0.149451867728207,0.602227459221659,0.127965634264744,1.52419211362466,14,9.47684963154502,1254.23171929197,0.541844831846716,162.426777738078
"JERC",5,2015,2019,0.13866049635829,0.00864142076140383,0.147301917119694,0.605219735259856,0.180305047955159,0.446959420331803,14,20.3907991361244,1423.34913424927,0.254568461679898,177.4922951531
"KONZ",7,2016,2022,0.152273107955501,-0.0641868762368627,0.0880862317186386,0.515819335679411,0.151252707988265,0.923355762823755,14,13.4423747896846,922.411499673086,0.620394958579144,140.710800570464
"LAJA",7,2016,2022,0.159099448893352,0.105239386757938,0.26433883565129,0.681809726127526,0.235644575675655,0.251137968224549,14,25.8077913453472,1642.23607079948,0.186887133967531,266.067358069535
"MLBS",5,2018,2022,0.135577503396986,0.0266382012567569,0.162215704653743,0.532939299496916,0.152326449725731,0.62093758886365,14,12.3177976984014,1277.52420194068,0.284025277489128,222.819761435119
"NIWO",8,2015,2022,0.0613284141389746,0.309929151167745,0.371257565306719,0.569850896795966,0.125105805183857,0.521918438849935,14,3.66277030036318,479.449220273871,0.480316480856993,94.6230001137144
"NOGP",7,2016,2022,0.119320210451241,-0.03535347063923,0.0839667398120108,0.558655406039856,0.202651513363463,0.376390474141054,14,6.12885570811035,443.650004249249,1.20161522653029,114.723924343436
"OAES",5,2015,2019,0.133543101616333,-0.0212277127752008,0.112315388841132,0.429641904219347,0.141196369800408,0.430414192002986,14,16.142286524372,778.342886436335,0.537451934440973,109.374584319795
"ONAQ",5,2015,2019,0.0767770715977261,0.0180107624660364,0.0947878340637625,0.521530204994579,0.104755179466103,1.26502217289928,14,10.2166819776526,426.993405388948,0.572542183390283,70.1604043120936
"ORNL",9,2014,2022,0.143759671463434,0.00257648781229973,0.146336159275734,0.548389363389777,0.194808487075176,1.35052632027661,14,15.0984338069372,1558.19107570404,0.605159987123988,207.814624200188
"OSBS",5,2015,2019,0.157686344418828,0.0392417705050549,0.196928114923883,0.653173540095859,0.221434484475193,0.980363940350485,14,22.1824266239638,1506.0130250491,0.224607764961847,83.807302881116
"PUUM",5,2018,2022,0.144540326822663,0.0947927500732479,0.239333076895911,0.546937064723694,0.230410678661345,0.646200232944283,14,20.625039026079,1839.42654378268,0.331226595582996,357.511592779416
"RMNP",6,2017,2022,0.0940729720977785,0.159294822010702,0.253367794108481,0.704027807927898,0.151479718654072,0.942148314909468,14,4.34458676544478,444.055758824067,0.520994405368275,87.0630916681812
"SCBI",8,2014,2021,0.115331928056778,0.0676649198395908,0.182996847896369,0.529446084861924,0.264578083848935,0.628181688570598,14,13.1568955402202,1168.76183685255,0.625543054129097,199.184199092653
"SERC",5,2015,2019,0.0870255505494093,0.184511202946311,0.27153675349572,0.58764812208858,0.242832870870374,0.500463513973198,14,14.2605879907075,1240.30969225786,0.274885569933112,233.859669004801
"SRER",7,2016,2022,0.0843328123445037,0.0799194043961245,0.164252216740628,0.584773695623309,0.159648715055859,2.41576728341853,14,18.4082175562924,375.078932705742,0.37798429607029,108.545091838047
"STEI",7,2015,2021,0.102854441916829,0.19024498955914,0.293099431475969,0.635265630105469,0.136638025618461,1.82246505559644,14,5.31079584058502,962.459829955812,0.802851789064979,123.068374730224
"TALL",9,2014,2022,0.152589874128415,0.035267115612736,0.187856989741152,0.625027863977218,0.197992935590046,1.2417394055842,14,18.678240675131,1527.86618729835,0.642655530743172,164.369777986513
"TREE",5,2015,2019,0.13371302835496,0.172765900620038,0.306478928974998,0.616573216128951,0.218133001585243,0.311925473427898,14,5.38966173711226,1007.76678733577,0.812796499610511,103.307902743885
"UKFS",6,2016,2021,0.118911844668682,-0.031849259514251,0.0870625851544312,0.57630742081925,0.18292867332952,0.366584910006281,14,13.9894882744063,1094.12774839321,0.657291241532754,107.879200742947
"UNDE",6,2014,2019,0.0984409348349722,0.0717221507384335,0.170163085573406,0.644862281062953,0.137638609392824,0.855229801314314,14,4.24393543198223,1020.79757418528,1.10632574961538,85.492030989914
"WOOD",8,2014,2021,0.0982693419018171,0.0678046912355444,0.166074033137361,0.587172478910023,0.155016833374209,0.556977304260444,14,5.14783908464421,511.106855286404,1.28774112033808,115.349091061495
